
=====================================================================================
Run started at 2026-04-26 12:50:49
=====================================================================================

Dim    Algorithm            Avg Runtime (s)      Build Mem (KB)  Query Mem (KB)  Accuracy
50     Forest ANN (bt=0)    0.004218             205470.08       99.40           0.0360
50     Forest ANN (bt=1)    0.029562             205470.08       95.18           0.3240
50     Forest ANN (bt=2)    0.144970             205470.08       74.84           0.7680

100    Brute Force          1.739615             0.00            10045.40        1.0000
100    k-d Tree             1.605417             12500.64        1.10            1.0000
100    Forest ANN (bt=0)    0.006895             205469.86       177.59          0.0220
100    Forest ANN (bt=1)    0.050463             205469.86       173.84          0.1500
100    Forest ANN (bt=2)    0.255426             205469.86       150.52          0.5300

200    Brute Force          3.134808             0.00            10045.41        1.0000
200    k-d Tree             2.995676             12500.64        1.10            1.0000
200    Forest ANN (bt=0)    0.012920             205470.68       333.93          0.0100
200    Forest ANN (bt=1)    0.095596             205470.68       329.36          0.0780
200    Forest ANN (bt=2)    0.484171             205470.68       298.56          0.3700

